ID,Nomination Date,Genus,Species,Common Name,Public Yes/No,Diameter (DBH - inches),Height (ft),Spread,Subjective Points,Date Modified,Latitude,Longitude,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,TRACT_DESCRIPTION,Shape_Length,Shape_Area
15004,4/5/2015 0:00,Quercus,pagoda,Cherrybark Oak,No,60,72,102,4,,36.941,-76.232,2,51,710,201,51710000201,2.01,Census Tract,G5020,S,704757,0,36.944033,-76.2375183,OCEAN VIEW,0.047254669,7.13E-05
13056,5/20/2013 0:00,Quercus,virginiana,Live Oak,Yes,37,64,46,5,2/11/2013 0:00,36.935,-76.236,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
16017,6/13/2016 0:00,Prunus,thunbergii,Japanese Black Pine,YES,16,23,33,,6/13/2016 0:00,36.953,-76.25,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
12030,8/27/2012 0:00,Quercus,acutissima,Sawtooth Oak,Yes,16,48,54,2,8/27/2012 0:00,36.955,-76.262,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
11043,3/11/2012 0:00,Quercus,margaretta,Sand Post Oak,Yes,38,80,75,10,3/11/2012 0:00,36.956,-76.262,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
16016,6/13/2016 0:00,Quercus,virginiana,Live Oak,YES,28,34,53,,6/13/2016 0:00,36.952,-76.25,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
11067,2/8/2010 0:00,Quercus,virginiana,Live Oak (whole grove),Yes,0,0,0,20,5/11/2012 0:00,36.957,-76.256,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
13061,10/28/2013 0:00,Quercus,falcata,Southern Red Oak,Yes,15,25,48,,6/20/2016 0:00,36.957,-76.259,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
13040,9/17/2012 0:00,Prunus,serotina,Black Cherry,No,0,0,0,0,6/27/2013 0:00,36.952,-76.257,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
13041,9/17/2012 0:00,Magnolia,grandiflora,Southern Magnolia,No,0,0,0,0,6/27/2013 0:00,36.951,-76.256,4,51,710,300,51710000300,3,Census Tract,G5020,S,1812208,23080,36.9512897,-76.253029,OCEAN VIEW,0.066204343,0.000185673
12018,3/26/2012 0:00,Cedrus,atlantica,Atlas Cedar,Yes,50,48,90,0,8/8/2016 0:00,36.942,-76.252,7,51,710,600,51710000600,6,Census Tract,G5020,S,1248687,0,36.940424,-76.2535165,"OCEANAIR, BAYVIEW",0.050622677,0.000126309
17056,8/14/2017 0:00,Quercus,alba,White Oak,Yes,52,88,93,,8/14/2017 0:00,36.935,-76.259,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
13043,9/14/2012 0:00,Malus,'Prairifire',Pararifire Crab Apple,Yes,0,0,0,0,10/20/2014 0:00,36.935,-76.263,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
17055,8/14/2017 0:00,Quercus,falcata,Southern Red Oak,Yes,54,124,85,,8/14/2017 0:00,36.935,-76.261,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
12027,9/7/2012 0:00,Quercus,acutissima,Sawtooth Oak,Yes,19,42,52,6,8/14/2017 0:00,36.936,-76.258,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
17059,8/14/2017 0:00,Quercus,nigra,Water Oak,Yes,46,64,86,,8/14/2017 0:00,36.935,-76.258,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
16029,8/8/2016 0:00,Ilex,opaca,American Holly,Yes,21,44,36,,8/8/2016 0:00,36.933,-76.264,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
17058,8/14/2017 0:00,Tetradium,danielli,Korean Evodia,Yes,7,14,17,,8/14/2017 0:00,36.936,-76.258,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
12024,9/7/2012 0:00,Prunus,cerasifera,Purple-Leaf Plum,Yes,9,24,29,0,8/14/2017 0:00,36.936,-76.258,8,51,710,700,51710000700,7,Census Tract,G5020,S,1312199,33089,36.9332787,-76.2537728,"OCEANAIR, BAYVIEW",0.055746822,0.000136069
11018,1/7/2010 0:00,Quercus,virginiana,Live Oak,No,48,75,34,5,2/22/2011 0:00,36.934,-76.268,9,51,710,800,51710000800,8,Census Tract,G5020,S,941358,204737,36.9378793,-76.2687837,"MERRIMAC PARK, COMMODORE PARK",0.048745591,0.00011593
17014,8/5/2017 0:00,Quercus,phellos,Willow Oak,No,50,80,114,,8/5/2017 0:00,36.95,-76.314,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
13045,12/10/2012 0:00,Liquidambar,styraciflua,Sweetgum,Yes,0,0,0,0,10/19/2013 0:00,36.943,-76.285,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
10007,9/30/2011 0:00,Quercus,virginiana,Live Oak,No,263,57,60,10,4/11/2012 0:00,36.952,-76.269,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
17015,8/5/2017 0:00,Prunus,serotina,Black Cherry,No,48,70,53,,8/5/2017 0:00,36.949,-76.316,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
17016,8/5/2017 0:00,Quercus,phellos,Willow Oak,No,55,85,96,,8/5/2017 0:00,36.951,-76.316,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
17017,6/18/1900 0:00,Quercus,phellos,Willow Oak,No,61,85,93,,8/5/2017 0:00,36.95,-76.316,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
17012,8/5/2017 0:00,Ilex,opaca,American Holly,No,20,64,36,,8/5/2017 0:00,36.95,-76.31,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
16125,10/17/2016 0:00,Persea,palustris,Swampbay,No,20,32,37,,1/8/2016 0:00,36.949,-76.314,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
17013,8/5/2017 0:00,Ligustrum,lucidum,Chinese Privet,No,19,30,48,,8/5/2017 0:00,36.949,-76.312,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
16124,10/17/2016 0:00,Diospyros,virginiana,"Persimmon, Common",No,25,45,57,,10/17/2016 0:00,36.95,-76.312,11,51,710,902,51710000902,9.02,Census Tract,G5020,S,17627459,8026430,36.9372397,-76.3092149,"NAVAL BASE, SEWELLS POINT",0.36755265,0.002594783
11059,7/19/2010 0:00,Quercus,palustris,Pin Oak,Yes,44,95,76,5,4/11/2012 0:00,36.927,-76.309,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
11047,3/11/2012 0:00,Quercus,phellos,Willow Oak,Yes,54,128,143,4,3/11/2012 0:00,36.927,-76.309,12,51,710,1100,51710001100,11,Census Tract,G5020,S,660096,0,36.9296812,-76.3122741,GLENWOOD PARK,0.039400613,6.68E-05
14012,4/9/2014 0:00,Osmanthus,fortunei,Fortunes Tea Olive,No,0,32,48,0,10/27/2014 0:00,36.912,-76.304,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
10051,1/1/2010 0:00,Pinus,taeda,Loblolly Pine,,23,96,45,0,10/27/2014 0:00,36.912,-76.312,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
13020,2/18/2013 0:00,Diospyros,virginiana,"Persimmon, Common",Yes,23,50,39,0,7/28/2014 0:00,36.911,-76.307,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
16133,11/14/2016 0:00,Cedrus,deodara,Deodar Cedar,YES,33,60,66,,3/24/2017 0:00,36.91,-76.312,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
10011,10/5/2010 0:00,Platanus,occidentalis,American Sycamore,Yes,50,105,52,10,11/9/2017 0:00,36.907,-76.292,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
13021,2/18/2013 0:00,Diospyros,virginiana,"Persimmon, Common",Yes,,,,,6/27/2013 0:00,36.914,-76.316,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
16021,11/7/2016 0:00,Quercus,bicolor,Swamp White Oak,Yes,7,28,24,,11/7/2016 0:00,36.913,-76.313,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
11061,8/22/2011 0:00,Quercus,phellos,Willow Oak,Yes,63,85,93,0,6/27/2016 0:00,36.915,-76.311,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
15019,7/13/2015 0:00,Sassafras,albidum,Sassafras,Y,7,24,24,0,7/13/2015 0:00,36.912,-76.299,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
17067,11/9/2017 0:00,Carya,illinoinensis,Pecan,Yes,37,70,92,,11/9/2017 0:00,36.908,-76.292,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
13005,11/6/2012 0:00,Acer,pensylvanicum,Striped Maple,Yes,12,48,40,1,2/17/2013 0:00,36.909,-76.291,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
13022,10/21/2013 0:00,Pinus,taeda,Loblolly Pine,Yes,26,72,64,3,10/21/2013 0:00,36.913,-76.314,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
16020,6/27/2016 0:00,Ulmus,rubra,Slippery Elm,NO,50,56,87,,6/27/2016 0:00,36.914,-76.313,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
10010,10/5/2010 0:00,Lagerstroemia,indica,Crepe Myrtle,Yes,20,35,14,3,7/28/2010 0:00,36.912,-76.308,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
17018,5/22/2017 0:00,Platanus,occidentalis,American Sycamore,Yes,31,80,75,,5/22/2017 0:00,36.911,-76.312,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
17068,11/9/2017 0:00,Quercus,muehlenbergii,Chinkapin Oak,Yes,15,24,49,,11/9/2017 0:00,36.908,-76.292,13,51,710,1200,51710001200,12,Census Tract,G5020,S,2001429,1416159,36.911089,-76.3051537,"LOCHAVEN, MEADOWBROOK",0.10623916,0.000345571
17033,10/7/2017 0:00,Juniperus,virginiana,Eastern Red Cedar,Yes,38,60,44,,10/7/2017 0:00,36.918,-76.279,14,51,710,1300,51710001300,13,Census Tract,G5020,S,655895,0,36.9178174,-76.2803592,SUSSEX,0.038851579,6.63E-05
17034,10/7/2017 0:00,Quercus,alba,White Oak,Yes,52,82,72,,10/7/2017 0:00,36.918,-76.28,14,51,710,1300,51710001300,13,Census Tract,G5020,S,655895,0,36.9178174,-76.2803592,SUSSEX,0.038851579,6.63E-05
17035,10/7/2017 0:00,Quercus,alba,White Oak,Yes,41,80,76,,10/7/2017 0:00,36.917,-76.279,14,51,710,1300,51710001300,13,Census Tract,G5020,S,655895,0,36.9178174,-76.2803592,SUSSEX,0.038851579,6.63E-05
13042,9/13/2012 0:00,Juniperus,virginiana,Eastern Red Cedar,Yes,17,30,31,0,7/28/2014 0:00,36.916,-76.28,14,51,710,1300,51710001300,13,Census Tract,G5020,S,655895,0,36.9178174,-76.2803592,SUSSEX,0.038851579,6.63E-05
17064,8/21/2017 0:00,Quercus,phellos,Willow Oak,Yes,41,82,81,,8/28/2017 0:00,36.905,-76.267,15,51,710,1400,51710001400,14,Census Tract,G5020,S,1359451,43015,36.9080035,-76.2679909,WARDS CORNER,0.052045361,0.000141806
10015,4/16/2010 0:00,Acer,plantanoides,Norway Maple 'Crimson King',Yes,17,30,35,0,8/28/2017 0:00,36.905,-76.261,15,51,710,1400,51710001400,14,Census Tract,G5020,S,1359451,43015,36.9080035,-76.2679909,WARDS CORNER,0.052045361,0.000141806
17063,8/28/2017 0:00,Quercus,pagoda,Cherrybark Oak,Yes,17,50,40,,8/28/2017 0:00,36.906,-76.267,15,51,710,1400,51710001400,14,Census Tract,G5020,S,1359451,43015,36.9080035,-76.2679909,WARDS CORNER,0.052045361,0.000141806
13055,10/23/2013 0:00,Betula,nigra,River Birch,Yes,17,0,0,0,10/31/2013 0:00,36.915,-76.28,16,51,710,1500,51710001500,15,Census Tract,G5020,S,861348,91921,36.9134612,-76.2844792,COLONY POINT,0.049496174,9.64E-05
13106,1/1/2000 0:00,Quercus,phellos,Willow Oak,,46,82,100,0,4/16/2018 18:29,36.913,-76.277,16,51,710,1500,51710001500,15,Census Tract,G5020,S,861348,91921,36.9134612,-76.2844792,COLONY POINT,0.049496174,9.64E-05
13051,6/13/2013 0:00,Ficus,carica,Common Fig,Yes,16,16,33,0,7/28/2014 0:00,36.912,-76.276,16,51,710,1500,51710001500,15,Census Tract,G5020,S,861348,91921,36.9134612,-76.2844792,COLONY POINT,0.049496174,9.64E-05
11003,2/14/2011 0:00,Carya,tomentosa,Mockernut Hickory,Yes,18,76,30,0,7/14/2014 0:00,36.913,-76.282,16,51,710,1500,51710001500,15,Census Tract,G5020,S,861348,91921,36.9134612,-76.2844792,COLONY POINT,0.049496174,9.64E-05
13048,12/10/2012 0:00,Prunus,serotina,Black Cherry,No,0,0,0,0,,36.915,-76.278,16,51,710,1500,51710001500,15,Census Tract,G5020,S,861348,91921,36.9134612,-76.2844792,COLONY POINT,0.049496174,9.64E-05
13083,6/17/2013 0:00,Acer,rubrum,Red Maple,yes,35,56,32,4,6/17/2013 0:00,36.912,-76.278,16,51,710,1500,51710001500,15,Census Tract,G5020,S,861348,91921,36.9134612,-76.2844792,COLONY POINT,0.049496174,9.64E-05
