genus,species,common_nam,street_num,street_nam,site,date_deliv,time_deliv,date_compl,time_compl,estimated_,source,program_ye,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,TRACT_DESCRIPTION,Shape_Length,Shape_Area
Taxodium,distichum,Bald cypress,1976,E. Ocean View Ave,1M,1/2/2019,00:00.0,2/6/2019,00:00.0,490.873852,City Nursery,2019,1,51,710,100,51710000100,1,Census Tract,G5020,S,937212,46000,36.9347339,-76.2208474,OCEAN VIEW,0.04846879,9.95E-05
Lagerstroemia,indica x fauriei 'Natchez',Natchez crape myrtle,9357,Sturgis St,2F,12/28/2017,00:00.0,2/21/2018,00:00.0,314.159265,Purchased,2018,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Quercus,bicolor,Bicolor oak,9431,Atlans Ave,1S,1/15/2019,00:00.0,2/13/2019,00:00.0,3846,City Nursery,2019,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Ulmus,americana 'Princeton',Princeton American elm,1064,E. Bayview Blvd,1F,1/2/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Ulmus,americana 'Princeton',Princeton American elm,1060,E. Bayview Blvd,1F,1/2/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Lagerstroemia,indica x fauriei 'Natchez',Natchez crape myrtle,9357,Sturgis St,1F,12/28/2017,00:00.0,2/21/2018,00:00.0,314.159265,Purchased,2018,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Quercus,bicolor,Bicolor oak,9431,Atlans Ave,2S,1/15/2019,00:00.0,2/13/2019,00:00.0,3846,City Nursery,2019,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Ulmus,americana 'Princeton',Princeton American elm,1044,E. Bayview Blvd,1F,1/2/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Ulmus,americana 'Princeton',Princeton American elm,1324,E. Bayview Blvd,1F,1/2/2019,00:00.0,2/26/2019,00:00.0,1256.63706,City Nursery,2019,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
Quercus,prinoides,Dwarf chinquapin oak,8817,Plymouth St,1F,2/20/2018,00:00.0,2/22/2018,00:00.0,153.93804,City Nursery,2018,3,51,710,202,51710000202,2.02,Census Tract,G5020,S,1305437,0,36.9374396,-76.2390455,OCEAN VIEW,0.048189686,0.000132045
