OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,TRACT_DESCRIPTION,Shape_Length,Shape_Area,stop_id,stop_name,stop_lat,stop_lon
"1","51","710","000100","51710000100","1",Census Tract,G5020,S,937212,46000,"+36.9347339","-076.2208474",OCEAN VIEW,0.0484687896089239,9.94502794199472e-05,"0064",OCEAN VIEW & BEAUMONT,36.940397,-76.228705
"1","51","710","000100","51710000100","1",Census Tract,G5020,S,937212,46000,"+36.9347339","-076.2208474",OCEAN VIEW,0.0484687896089239,9.94502794199472e-05,"0065",OCEAN VIEW & GROVE,36.939199,-76.225509
"1","51","710","000100","51710000100","1",Census Tract,G5020,S,937212,46000,"+36.9347339","-076.2208474",OCEAN VIEW,0.0484687896089239,9.94502794199472e-05,"0066",OCEAN VIEW & CAPE VIEW,36.938352,-76.223038
"1","51","710","000100","51710000100","1",Census Tract,G5020,S,937212,46000,"+36.9347339","-076.2208474",OCEAN VIEW,0.0484687896089239,9.94502794199472e-05,"0068",OCEAN VIEW & 1ST BAY,36.936328,-76.216953
"1","51","710","000100","51710000100","1",Census Tract,G5020,S,937212,46000,"+36.9347339","-076.2208474",OCEAN VIEW,0.0484687896089239,9.94502794199472e-05,"0140",OCEAN VIEW & CAPEVIEW,36.938444,-76.222713
"1","51","710","000100","51710000100","1",Census Tract,G5020,S,937212,46000,"+36.9347339","-076.2208474",OCEAN VIEW,0.0484687896089239,9.94502794199472e-05,"0141",OCEAN VIEW & GROVE,36.939554,-76.225963
"1","51","710","000100","51710000100","1",Census Tract,G5020,S,937212,46000,"+36.9347339","-076.2208474",OCEAN VIEW,0.0484687896089239,9.94502794199472e-05,"2087",OCEAN VIEW & INLET,36.93735,-76.219408
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0056",OCEAN VIEW & ELNORA,36.947934,-76.241558
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0058",OCEAN VIEW & ATLANS,36.945964,-76.23882
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0060",OCEAN VIEW & BEACH VIEW,36.944179,-76.235762
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0062",OCEAN VIEW & STURGIS,36.942056,-76.231913
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0143",OCEAN VIEW & WILLOW,36.941504,-76.230474
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0144",OCEAN VIEW & STURGIS,36.942319,-76.232115
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0146",OCEAN VIEW & BEACH VIEW,36.944271,-76.235617
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"0332",CHESAPEAKE & DUDLEY,36.94281,-76.245677
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"5641",OCEAN VIEW & CHESAPEAKE ST,36.947473,-76.240629
"2","51","710","000201","51710000201","2.01",Census Tract,G5020,S,704757,0,"+36.9440330","-076.2375183",OCEAN VIEW,0.047254669429449,7.12922324664542e-05,"5750",CHESAPEAKE & BALVIEW,36.94645,-76.2441
"3","51","710","000202","51710000202","2.02",Census Tract,G5020,S,1305437,0,"+36.9374396","-076.2390455",OCEAN VIEW,0.0481896864342955,0.000132045355951708,"0324",CHESAPEAKE & FISHERMANS,36.930525,-76.243771
"3","51","710","000202","51710000202","2.02",Census Tract,G5020,S,1305437,0,"+36.9374396","-076.2390455",OCEAN VIEW,0.0481896864342955,0.000132045355951708,"0326",CHESAPEAKE & BAYVIEW,36.933312,-76.244167
"3","51","710","000202","51710000202","2.02",Census Tract,G5020,S,1305437,0,"+36.9374396","-076.2390455",OCEAN VIEW,0.0481896864342955,0.000132045355951708,"0328",CHESAPEAKE & DUNE,36.937292,-76.244794
"3","51","710","000202","51710000202","2.02",Census Tract,G5020,S,1305437,0,"+36.9374396","-076.2390455",OCEAN VIEW,0.0481896864342955,0.000132045355951708,"0330",CHESAPEAKE & CHESTER,36.9391,-76.245089
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0048",GRANBY & BATTERSEA,36.948166,-76.256277
"4","51","710","000300","51710000300","3",Census Tract,G5020,S,1812208,23080,"+36.9512897","-076.2530290",OCEAN VIEW,0.0662043431862795,0.000185672566841233,"0051",GRANBY & GOVERNMENT,36.949204,-76.255099
